month,predicted_sales,store
2024-03,8.240815706575177,50
2024-04,13.610099418015823,50
2024-05,21.482303453605322,50
2024-06,24.604757400136357,50
2024-07,27.182831249244433,50
2024-08,30.026281426694077,50
2024-09,32.798820462207374,50
2024-10,35.44282729671089,50
2024-11,38.28657148851771,50
2024-12,40.65456102335674,50
2024-03,7.272052687598032,122
2024-04,12.744751949902748,122
2024-05,21.58437272808109,122
2024-06,25.628725886646958,122
2024-07,28.85081192506121,122
2024-08,32.30938889501983,122
2024-09,35.69616155944342,122
2024-10,38.94601453242066,122
2024-11,42.42365531230294,122
2024-12,45.289285932067976,122
2024-03,6.537073713303824,87
2024-04,11.999091874832184,87
2024-05,21.11345367533127,87
2024-06,26.905756282346015,87
2024-07,31.823381290975473,87
2024-08,36.87323838338202,87
2024-09,42.06877008421631,87
2024-10,46.94018274735119,87
2024-11,52.04006427772872,87
2024-12,56.4594525359682,87
2024-03,1.510792728490442,547
2024-04,8.023280325122363,547
2024-05,20.812500203730867,547
2024-06,33.44835220565993,547
2024-07,45.32709243997827,547
2024-08,57.71640744559241,547
2024-09,70.0051920451575,547
2024-10,81.9329154261923,547
2024-11,94.21141985207154,547
2024-12,104.72108594216253,547
2024-03,8.103185648166253,894
2024-04,12.661403250580944,894
2024-05,20.484083449676923,894
2024-06,26.328435198857072,894
2024-07,31.670410359916705,894
2024-08,37.34621361720503,894
2024-09,42.94358652429013,894
2024-10,48.32017706177207,894
2024-11,53.954065158110296,894
2024-12,58.73338964149238,894
